Demonstrativo do Orçamento OCA 2º Quadrimestre 2016;;;;;;;;;;;;;;;;;;;;;;;
Eixo;Nome;Sub eixo;Nome;classif03;Função;Nome;Sub função;Nome;programa;Nome;Ação;Nome;Sub ação;Nome;indice_proporcionalidade;valor_credito_inicial;Orçado;valor_empenhado;valor_liquidado;valor_pago;Empenhado;Liquidado ;Pago
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2106;Gestão da Política de Esporte e Lazer;4;Centro de Memória do Esporte e do Lazer da Cidade;0.25;0;1,250.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2531;Programas de Esporte Educacional;1;Programa Segundo Tempo;1;0;4,513,000.00;1,820,823.58;1,820,821.30;1,678,444.38;3,744,856.76;3,744,729.85;3,192,894.99
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2531;Programas de Esporte Educacional;4;Programa Esporte Esperança / BH Cidadania;1;0;442,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2531;Programas de Esporte Educacional;12;Festival de Atletismo;1;0;45,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2534;Implantação, Manutenção e Recuperação de Equipamentos Esportivos e Áreas de Lazer;1;Manutenção, Conservação, Pequenas Reformas e Custeio de Equipamentos Esportivos;0.25;0;1,701,500.00;241,753.99;314,893.09;329,676.08;666,558.79;573,142.51;572,863.90
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2545;Promoções e Eventos Esportivos e Gestão de Áreas de Lazer;1;Promoções e Eventos Esportivos e Gestão de Áreas de Lazer;0.5;0;1,367,000.00;227,011.86;227,028.12;241,007.24;485,500.27;485,500.27;438,402.94
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;101;Promoção e Democratização das Práticas de Esportes e Lazer;2757;Programas e Atividades  Esportivas;1;Programas Esportivos Sociais e Atividades de Lazer Comunitárias;0.5;0;2,482,500.00;714,490.08;714,490.08;706,981.70;1,419,220.70;1,419,220.70;1,252,987.46
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;1213;Construção, Ampliação e Reforma de Equipamentos Esportivos e Áreas de Lazer;1;Construção, Ampliação e Reforma de Equipamentos Esportivos e Áreas de Lazer;0.25;0;6,611,617.00;391,436.80;278,574.57;332,397.56;575,150.32;407,650.87;380,774.84
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2531;Programas de Esporte Educacional;6;Programa de Atletismo;1;0;101,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2534;Implantação, Manutenção e Recuperação de Equipamentos Esportivos e Áreas de Lazer;5;Ampliação do Programa Academias a Céu Aberto ;0.25;0;500,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2534;Implantação, Manutenção e Recuperação de Equipamentos Esportivos e Áreas de Lazer;6;Manutenção e Custeio das Academias a Céu Aberto;0.25;0;11,250.00;-758.73;4,683.75;5,391.93;5,532.52;5,532.52;5,532.52
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2536;Programa Superar;1;Superar Educacional / BH Cidadania;1;0;680,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2536;Programa Superar;5;Incentivo ao Esporte da Pessoa com Deficiência;0.25;0;250,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;812;Desporto Comunitário;238;Promoção do Esporte e do Lazer;2536;Programa Superar;6;Participação de atleta com deficiência em competições paradesportivas;0.25;0;50,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;813;Lazer;101;Promoção e Democratização das Práticas de Esportes e Lazer;2869;Programas e Atividades de Lazer;1;Programas e Atividades de Lazer;0.85;0;2,105,450.00;609,079.42;609,079.42;611,205.14;1,172,970.63;1,172,970.63;1,037,852.97
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;EX;27;Desporto e Lazer;813;Lazer;101;Promoção e Democratização das Práticas de Esportes e Lazer;2869;Programas e Atividades de Lazer;3;Recrear;1;0;457,000.00;0.00;0.00;0.00;0.00;0.00;0.00
AEQ;EIXO: Acesso à Educação de Qualidade;DLA;SUB-EIXO: Desporto e Lazer;NEX;27;Desporto e Lazer;813;Lazer;101;Promoção e Democratização das Práticas de Esportes e Lazer;2869;Programas e Atividades de Lazer;10;Promoção de Eventos de Lazer;0.25;0;98,750.00;0.00;0.00;0.00;0.00;0.00;0.00
